record_id,source_type,source_name,source_reference,citation_url,species,eventDate,year,lon,lat,label,coordinate_precision_km,species_confirmed,confidence_score,is_verified,qa_reviewer,qa_status,rationale,notes
v12vp_0001,satellite_digitized,v1_2_verification_pack_top50,verified from reviewed pack,nan,Kappaphycus alvarezii,,,79.00941937588762,9.355333934360836,1,1.0,False,0.6666667,False,nan,pending,reviewed_verification_pack_candidate,verified_dates=nan
v12vp_0002,satellite_digitized,v1_2_verification_pack_top50,verified from reviewed pack,nan,Kappaphycus alvarezii,,,79.01840252872881,9.346350781519645,1,1.0,False,0.6666667,False,nan,pending,reviewed_verification_pack_candidate,verified_dates=nan
v12vp_0003,satellite_digitized,v1_2_verification_pack_top50,verified from reviewed pack,nan,Kappaphycus alvarezii,,,79.01840252872881,9.355333934360836,1,1.0,False,0.6666667,False,nan,pending,reviewed_verification_pack_candidate,verified_dates=nan
v12vp_0004,satellite_digitized,v1_2_verification_pack_top50,verified from reviewed pack,nan,Kappaphycus alvarezii,,,79.00941937588762,9.364317087202032,1,1.0,False,0.6666667,False,nan,pending,reviewed_verification_pack_candidate,verified_dates=nan
v12vp_0005,satellite_digitized,v1_2_verification_pack_top50,verified from reviewed pack,nan,Kappaphycus alvarezii,,,79.73705475602442,9.130755113330958,1,1.0,False,0.6666667,False,nan,pending,reviewed_verification_pack_candidate,verified_dates=nan
v12vp_0006,satellite_digitized,v1_2_verification_pack_top50,verified from reviewed pack,nan,Kappaphycus alvarezii,,,79.7819705202304,8.501934414447293,1,1.0,False,0.3,False,nan,pending,reviewed_verification_pack_candidate,verified_dates=nan
v12vp_0007,satellite_digitized,v1_2_verification_pack_top50,verified from reviewed pack,nan,Kappaphycus alvarezii,,,79.76400421454801,9.0499067377602,1,1.0,False,0.42424244,False,nan,pending,reviewed_verification_pack_candidate,verified_dates=nan
v12vp_0008,satellite_digitized,v1_2_verification_pack_top50,verified from reviewed pack,nan,Kappaphycus alvarezii,,,79.71908845034204,9.06787304344259,1,1.0,False,0.42424244,False,nan,pending,reviewed_verification_pack_candidate,verified_dates=nan
v12vp_0009,satellite_digitized,v1_2_verification_pack_top50,verified from reviewed pack,nan,Kappaphycus alvarezii,,,79.71010529750085,9.08583934912498,1,1.0,False,0.42424244,False,nan,pending,reviewed_verification_pack_candidate,verified_dates=nan
v12vp_0010,satellite_digitized,v1_2_verification_pack_top50,verified from reviewed pack,nan,Kappaphycus alvarezii,,,79.74603790886562,9.6158453667555,1,1.0,False,0.42424244,False,nan,pending,reviewed_verification_pack_candidate,verified_dates=nan
v12vp_0011,satellite_digitized,v1_2_verification_pack_top50,verified from reviewed pack,nan,Kappaphycus alvarezii,,,79.71908845034204,9.08583934912498,1,1.0,False,0.42424244,False,nan,pending,reviewed_verification_pack_candidate,verified_dates=nan
v12vp_0012,satellite_digitized,v1_2_verification_pack_top50,verified from reviewed pack,nan,Kappaphycus alvarezii,,,79.75502106170681,9.624828519596694,1,1.0,False,0.33333334,False,nan,pending,reviewed_verification_pack_candidate,verified_dates=nan
v12vp_0013,satellite_digitized,v1_2_verification_pack_top50,verified from reviewed pack,nan,Kappaphycus alvarezii,,,79.00043622304642,9.364317087202032,1,1.0,False,0.33333334,False,nan,pending,reviewed_verification_pack_candidate,verified_dates=nan
v12vp_0014,satellite_digitized,v1_2_verification_pack_top50,verified from reviewed pack,nan,Kappaphycus alvarezii,,,79.64722322761247,9.517030685502352,1,1.0,False,0.3,False,nan,pending,reviewed_verification_pack_candidate,verified_dates=nan
v12vp_0015,satellite_digitized,v1_2_verification_pack_top50,verified from reviewed pack,nan,Kappaphycus alvarezii,,,79.74603790886562,9.49906437981996,1,1.0,False,0.42424244,False,nan,pending,reviewed_verification_pack_candidate,verified_dates=nan
v12vp_0016,satellite_digitized,v1_2_verification_pack_top50,verified from reviewed pack,nan,Kappaphycus alvarezii,,,79.14416666850555,9.265502405948885,1,1.0,False,0.33333334,False,nan,pending,reviewed_verification_pack_candidate,verified_dates=nan
v12vp_0017,satellite_digitized,v1_2_verification_pack_top50,verified from reviewed pack,nan,Kappaphycus alvarezii,,,79.26993080828228,9.31041817015486,1,1.0,False,0.35,False,nan,pending,reviewed_verification_pack_candidate,verified_dates=nan
v12vp_0018,satellite_digitized,v1_2_verification_pack_top50,verified from reviewed pack,nan,Kappaphycus alvarezii,,,79.7819705202304,9.0499067377602,1,1.0,False,0.33333334,False,nan,pending,reviewed_verification_pack_candidate,verified_dates=nan
v12vp_0019,satellite_digitized,v1_2_verification_pack_top50,verified from reviewed pack,nan,Kappaphycus alvarezii,,,79.74603790886562,9.508047532661156,1,1.0,False,0.42424244,False,nan,pending,reviewed_verification_pack_candidate,verified_dates=nan
v12vp_0020,satellite_digitized,v1_2_verification_pack_top50,verified from reviewed pack,nan,Kappaphycus alvarezii,,,79.75502106170681,9.66974428380267,1,1.0,False,0.42424244,False,nan,pending,reviewed_verification_pack_candidate,verified_dates=nan
v12vp_0021,satellite_digitized,v1_2_verification_pack_top50,verified from reviewed pack,nan,Kappaphycus alvarezii,,,79.72807160318324,9.06787304344259,1,1.0,False,0.3,False,nan,pending,reviewed_verification_pack_candidate,verified_dates=nan
