record_id,source_type,source_name,source_reference,citation_url,species,eventDate,year,lon,lat,label,coordinate_precision_km,species_confirmed,confidence_score,is_verified,qa_reviewer,qa_status,rationale,notes
TN-02,literature,gemini_seed_batch,DOI:10.56042/ijms.v47i06.13600,https://doi.org/10.56042/ijms.v47i06.13600,Kappaphycus alvarezii,,,78.18999722222223,8.74621111111111,1,1.0,True,1.0,True,codex_auto_websweep,approved,seeded_from_user_supplied_table,original_species_text=K. alvarezii; verified_dates=2024-01-10;2024-03-15;2024-06-01
TN-04,literature,gemini_seed_batch,DOI:10.56042/ijms.v47i06.13600,https://doi.org/10.56042/ijms.v47i06.13600,Kappaphycus alvarezii,,,79.18876111111112,9.279433333333332,1,1.0,True,1.0,True,codex_auto_websweep,approved,seeded_from_user_supplied_table,original_species_text=K. alvarezii; verified_dates=2024-01-10;2024-03-15;2024-06-01
TN-06,literature,gemini_seed_batch,DOI:10.56042/ijms.v47i06.13600,https://doi.org/10.56042/ijms.v47i06.13600,Kappaphycus alvarezii,,,79.18971666666667,9.283852777777778,1,1.0,True,1.0,True,codex_auto_websweep,approved,seeded_from_user_supplied_table,original_species_text=K. alvarezii; verified_dates=2024-01-10;2024-03-15;2024-06-01
TN-05,literature,gemini_seed_batch,DOI:10.56042/ijms.v47i06.13600,https://doi.org/10.56042/ijms.v47i06.13600,Kappaphycus alvarezii,,,79.18615833333334,9.287433333333333,1,1.0,True,1.0,True,codex_auto_websweep,approved,seeded_from_user_supplied_table,original_species_text=K. alvarezii; verified_dates=2024-01-10;2024-03-15;2024-06-01
TN-01,literature,gemini_seed_batch,DOI:10.56042/ijms.v47i06.13600,https://doi.org/10.56042/ijms.v47i06.13600,Kappaphycus alvarezii,,,78.19048611111111,8.747483333333333,1,1.0,True,1.0,True,codex_auto_websweep,approved,seeded_from_user_supplied_table,original_species_text=K. alvarezii; verified_dates=2024-01-10;2024-03-15;2024-06-01
TN-03,literature,gemini_seed_batch,DOI:10.56042/ijms.v47i06.13600,https://doi.org/10.56042/ijms.v47i06.13600,Kappaphycus alvarezii,,,78.19485833333334,8.745869444444443,1,1.0,True,1.0,True,codex_auto_websweep,approved,seeded_from_user_supplied_table,original_species_text=K. alvarezii; verified_dates=2024-01-10;2024-03-15;2024-06-01
TN-20,literature,gemini_seed_batch,DOI:10.4490/algae.2010.25.4.205,https://doi.org/10.4490/algae.2010.25.4.205,Kappaphycus alvarezii,,,79.21000000000001,9.239999999999998,1,1.0,True,1.0,True,codex_auto_websweep,approved,seeded_from_user_supplied_table,original_species_text=K. alvarezii; verified_dates=2024-01-10;2024-03-15;2024-06-01
bp_v1_1_0001,satellite_digitized,boundary_positive_mining_v1_1,model-guided candidate; requires manual verification,,Kappaphycus alvarezii,,,79.25196450259989,9.247536100266496,1,1.0,True,0.9810959696769714,True,codex_auto_websweep,approved,high_model_score_with_uncertainty_and_diversity,Verify by literature/satellite before ingestion. Auto-mined boundary-positive candidate.; verified_dates=2024-01-10;2024-03-15;2024-06-01
TN-12,government,gemini_seed_batch,"MFIS Tech Series 246, 2020",,Kappaphycus alvarezii,,,79.29994444444445,9.322833333333334,1,1.0,True,0.95,True,codex_auto_websweep,approved,seeded_from_user_supplied_table,original_species_text=K. alvarezii; verified_dates=2024-01-10;2024-03-15;2024-06-01
TN-14,government,gemini_seed_batch,"MFIS Tech Series 246, 2020",,Kappaphycus alvarezii,,,79.27197222222222,9.297944444444443,1,1.0,True,0.95,True,codex_auto_websweep,approved,seeded_from_user_supplied_table,original_species_text=K. alvarezii; verified_dates=2024-01-10;2024-03-15;2024-06-01
